"Player","Pos","Class","School","Conference","Season","Total"
"Denzil Ware","DL","FR","Kentucky","SEC",2015,4.3339
"Frank Ginda","LB","FR","San Jose State","Mountain West",2015,4.3338
"Darrion Daniels","DL","SR","Nebraska","Big Ten",2019,4.3338
"Lorenzo Waters","DB","SR","Rutgers","American",2013,4.3324
"Roger McCreary","DB","SO","Auburn","SEC",2019,4.3324
"Aaron Crawford","DL","FR","North Carolina","ACC",2016,4.3323
"James McFarland","DL","SR","TCU","Big 12",2016,4.3323
"Beau Yap","DL","JR","Hawaii","Mountain West",2013,4.3321
"Justin Thomason","DL","SR","North Carolina","ACC",2015,4.3319
"Ryan Collado","DB","SR","Minnesota","Big Ten",2010,4.3308
"Kristian Welch","LB","JR","Iowa","Big Ten",2018,4.3303
"Jordan Drake","LB","SO","Navy","Independent",2012,4.33
"Trevon Bierria","DB","FR","San Jose State","Mountain West",2016,4.3298
"Josh Liddell","DB","SO","Arkansas","SEC",2015,4.3295
"Holton Hill","DB","FR","Texas","Big 12",2015,4.3288
"Ryan Smith","DB","SO","SMU","CUSA",2010,4.3281
"Shaun Wade","DB","FR","Ohio State","Big Ten",2018,4.3278
"Davon Coleman","DL","SO","Arizona State","Pac-12",2011,4.3266
"Brandon Addison","DB","JR","Old Dominion","CUSA",2016,4.3265
"Julius Forte","DL","SR","USF","American",2013,4.3264
"Ben Holt","RB","FR","Western Kentucky","CUSA",2016,4.3258
"Mike Lee","DB","FR","Kansas","Big 12",2016,4.3251
"Talanoa Hufanga","DB","FR","USC","Pac-12",2018,4.325
"Ryan White","DB","SR","Auburn","SEC",2013,4.3249
"Jaylin Thomas","LB","SO","Ball State","MAC",2018,4.3248
"Kerwin Thomas","DB","SO","Tulsa","American",2015,4.3247
"Jake Fely","LB","FR","San Diego State","Mountain West",2011,4.3245
"DeMarcus Walker","DL","SO","Florida State","ACC",2014,4.3244
"Jordan Italiano","DB","SR","Kent State","MAC",2015,4.3243
"Alvin Davis","DB","FR","Akron","MAC",2016,4.3235
"Jay Ellison","DL","JR","Georgia Southern","Sun Belt",2015,4.3227
"Derek Wilder","DL","SR","Old Dominion","CUSA",2019,4.3226
"Lee Stalker","DL","JR","Kent State","MAC",2010,4.3223
"Brandon Watts","LB","JR","Georgia Tech","ACC",2012,4.3206
"Alex Hrebec","LB","JR","Kansas State","Big 12",2010,4.3205
"Kevin King","DB","SR","Central Michigan","MAC",2014,4.3204
"Christian Barmore","DL","FR","Alabama","SEC",2019,4.3204
"Coney Durr","DB","SO","Minnesota","Big Ten",2018,4.3201
"Trevor Guyton","DL","JR","California","Pac-10",2010,4.3199
"Alani Fua","LB","SR","BYU","Independent",2014,4.3192
"David Hinds","LB","SR","FAU","Sun Belt",2012,4.3191
"Delano Howell","DB","SR","Stanford","Pac-12",2011,4.3189
"Davison Colimon","LB","JR","FIU","CUSA",2014,4.3184
"Malik Foreman","DB","JR","Tennessee","SEC",2015,4.3183
"Alex Turner","DL","JR","East Carolina","American",2018,4.3181
"Eli Hanback","DL","SR","Virginia","ACC",2019,4.3178
"Malik Jefferson","LB","SO","Texas","Big 12",2016,4.3175
"Gavin Rocker","DL","SR","Western Kentucky","CUSA",2015,4.3174
"Javhari Bourdeau","DB","JR","Army","Independent",2019,4.3173
"Eric Gordon","DB","SO","Tennessee","SEC",2010,4.3166
"Shakir Soto","DL","SR","Pittsburgh","ACC",2016,4.3166
"Jason Hall","DB","SO","Texas","Big 12",2015,4.3164
"Dominique Williams","DB","JR","Boston College","ACC",2013,4.316
"Brandon Sparrow","DL","SR","Marshall","CUSA",2013,4.316
"Darion Monroe","DB","FR","Tulane","CUSA",2012,4.3156
"Brett Walsh","LB","SR","Northwestern","Big Ten",2017,4.3156
"Chucky Hunter","DL","SO","TCU","Big 12",2012,4.3155
"Daniel Maynes","DL","SR","Massachusetts","MAC",2014,4.315
"Brandon Harris","DB","SO","Bowling Green","MAC",2016,4.3139
"Matthew Godin","DL","SR","Michigan","Big Ten",2016,4.3138
"Nick Perry","DB","JR","Alabama","SEC",2012,4.3134
"Chigozie Nnoruka","DL","SO","UCLA","Pac-12",2017,4.3133
"Caden Sterns","DB","SO","Texas","Big 12",2019,4.3131
"Nephi Sewell","DB","SO","Nevada","Mountain West",2018,4.3123
"Henre’ Toliver","DB","SO","Arkansas","SEC",2015,4.3119
"Travis Long","LB","SR","Washington State","Pac-12",2012,4.3118
"Derek McCartney","LB","SR","Colorado","Pac-12",2017,4.3114
"Chaz Whittaker","DB","JR","Toledo","MAC",2014,4.3113
"Dereck Boles","DL","SR","Arizona","Pac-12",2018,4.3111
"Chris Stone","DL","FR","Arkansas State","Sun Belt",2012,4.311
"Josh Jones","DB","SO","North Carolina State","ACC",2015,4.3108
"Ranthony Texada","DB","SR","TCU","Big 12",2017,4.3103
"Aaron Curry","DL","JR","TCU","Big 12",2015,4.3099
"Anthony Winbush","DL","SR","Ball State","MAC",2017,4.3096
"Qushaun Lee","LB","FR","Arkansas State","Sun Belt",2011,4.3078
"Darien Rankin","DB","FR","North Carolina","ACC",2012,4.3076
"Kenronte Walker","DB","SR","Missouri","SEC",2012,4.3074
"Marlin Brooks","DB","JR","Ohio","MAC",2019,4.3069
"Aaron Davis","LB","SO","Colorado State","Mountain West",2012,4.3067
"Shakeil Lucas","DL","SR","Louisiana Tech","CUSA",2013,4.3066
"Vernon Butler","DL","SO","Louisiana Tech","CUSA",2013,4.3066
"Emeke Egbule","LB","SR","Houston","American",2018,4.3064
"Kevin Atkins","DL","JR","Fresno State","Mountain West",2019,4.3062
"Justin Winters","LB","SR","Buffalo","MAC",2010,4.3061
"Matt White","DB","SR","Missouri","SEC",2013,4.3055
"Tashaun Gipson","DB","JR","Wyoming","Mountain West",2010,4.3054
"Ramon Richards","DB","FR","Oklahoma State","Big 12",2014,4.3049
"Nick Cuthbert","DB","JR","Kent State","MAC",2015,4.3046
"Dion Jordan","DL","SO","Oregon","Pac-10",2010,4.3044
"Dave Clark","DB","JR","Louisiana Tech","WAC",2011,4.3043
"Anthony Winbush","DL","JR","Ball State","MAC",2016,4.3043
"Shamarko Thomas","DB","JR","Syracuse","Big East",2011,4.3042
"Deontae Skinner","LB","SR","Mississippi State","SEC",2013,4.3034
"Ladi Ajiboye","DL","SR","South Carolina","SEC",2010,4.3032
"Stephen Ruempolhamer","DL","SR","Iowa State","Big 12",2011,4.3032
"Hunter Williams","LB","JR","Wake Forest","ACC",2014,4.3032
"Alonzo Saxton II","DB","JR","Duke","ACC",2016,4.3028
"DeShawn Grayson","DB","SO","UTEP","CUSA",2010,4.3027
"Xzavier Dickson","LB","SO","Alabama","SEC",2012,4.3027
"Raekwon McMillan","LB","FR","Ohio State","Big Ten",2014,4.3024
"Kyle Rachwal","LB","SO","Eastern Michigan","MAC",2016,4.3024
"Jabari Zuniga","DL","SO","Florida","SEC",2017,4.3015
"Kevin Pierre-Louis","LB","JR","Boston College","ACC",2012,4.3011
"Jeravin Matthews","DB","SR","Northwestern","Big Ten",2011,4.3008
"Jarron Morris","DB","FR","Texas State","Sun Belt",2018,4.3005
"Ufomba Kamalu","DL","JR","Miami (FL)","ACC",2014,4.3003
"Malik Rivera","DB","SR","Georgia Tech","ACC",2018,4.2991
"Justin Jackson","LB","JR","Wake Forest","ACC",2012,4.299
"Donte Rumph","DL","JR","Kentucky","SEC",2012,4.2988
"Ikem Okeke","DB","JR","Hawaii","Mountain West",2018,4.298
"Jamal Ellis","DB","SR","Fresno State","Mountain West",2016,4.2975
"Rod Rook-Chungong","DL","SR","Georgia Tech","ACC",2016,4.2974
"Giorgio Newberry","DL","SR","Florida State","ACC",2015,4.2971
"Evan Foster","DB","SR","Syracuse","ACC",2019,4.2967
"Patrick Nelson","DB","SO","Illinois","Big Ten",2017,4.2963
"Chase Christiansen","LB","JR","Utah State","Mountain West",2017,4.2963
"Cameron Lewis","DB","JR","Buffalo","MAC",2017,4.296
"Steven Rhodes","DL","JR","Middle Tennessee","CUSA",2015,4.2958
"Tre'Davious White","DB","SO","LSU","SEC",2014,4.2953
"Tanner Vallejo","LB","JR","Boise State","Mountain West",2015,4.2953
"Jalil Brown","DB","SR","Colorado","Big 12",2010,4.2952
"Mitch Villemez","LB","JR","Louisiana Tech","CUSA",2013,4.2949
"Ryan Bee","DL","SO","Marshall","CUSA",2016,4.2949
"Justin Jackson","LB","SO","Wake Forest","ACC",2011,4.2947
"Ayo Shogbonyo","DL","JR","Illinois","Big Ten",2019,4.2937
"Shamar Stephen","DL","JR","Connecticut","Big East",2012,4.2933
"Kris Boyd","DB","SO","Texas","Big 12",2016,4.2933
"Jordan Fisher","LB","SR","Toledo","MAC",2019,4.2927
"Eli Ankou","DL","SR","UCLA","Pac-12",2016,4.2919
"Cristian Williams","DB","SR","Tulsa","American",2019,4.291
"Brandon Johnson","DB","SR","Tulsa","American",2019,4.291
"Thomas Teal","DL","JR","North Carolina State","ACC",2013,4.2906
"Travis Feeney","LB","SO","Washington","Pac-12",2013,4.2905
"Corey Crawford","DL","SR","Clemson","ACC",2014,4.2901
"Brandon Perce","LB","SR","Bowling Green","MAC",2019,4.2886
"Eathyn Manumaleuna","DL","SO","BYU","Mountain West",2010,4.2882
"Cameron Blakes","LB","SR","Louisiana-Monroe","Sun Belt",2013,4.2879
"A.J. Leggett","DB","FR","Marshall","CUSA",2013,4.2879
"D.J. Simon","LB","SR","Old Dominion","CUSA",2014,4.2874
"Jamel Dean","DB","JR","Auburn","SEC",2018,4.2872
"Isaiah Langley","DB","SR","USC","Pac-12",2018,4.287
"Seth Jacobs","LB","JR","Oklahoma State","Big 12",2015,4.2868
"Justin Halley","DB","JR","FIU","CUSA",2013,4.2864
"Neiko Thorpe","DB","JR","Auburn","SEC",2010,4.2862
"Gus Schwieterman","DL","FR","Bowling Green","MAC",2014,4.2856
"Markees Watts","LB","SO","Charlotte","CUSA",2019,4.2856
"Kevin Robbins","DL","JR","Ohio","MAC",2016,4.2854
"Homer Mauga","LB","JR","Idaho","WAC",2010,4.2853
"Peter Kalambayi","LB","SR","Stanford","Pac-12",2016,4.2853
"Sean Folliard","LB","SO","Northern Illinois","MAC",2014,4.2846
"Chris Miller","DB","JR","Baylor","Big 12",2018,4.2844
"Billy Dobbs","DL","SR","Troy","Sun Belt",2014,4.2843
"Matthew Walsh","LB","SR","Connecticut","American",2016,4.2841
"Troy Pride Jr.","DB","SR","Notre Dame","Independent",2019,4.2839
"Keith Bowers","DL","SR","Maryland","Big Ten",2014,4.2838
"Tre Lamar","LB","SO","Clemson","ACC",2017,4.2837
"Marcell Rose","DB","JR","Eastern Michigan","MAC",2011,4.2836
"Max Redfield","DB","SO","Notre Dame","Independent",2014,4.2836
"Trevor Williams","DB","JR","Penn State","Big Ten",2014,4.2835
"Jimmy Gaines","LB","SR","Miami (FL)","ACC",2013,4.2834
"Ryan Beard","DB","SR","Western Kentucky","Sun Belt",2011,4.2833
"Mark Garrick","DL","JR","UNLV","Mountain West",2012,4.2833
"Karl Joseph","DB","SR","West Virginia","Big Ten",2015,4.2833
"Lionel Smith","DB","SR","Texas A&M","Big 12",2011,4.2832
"Ian Simon","DB","JR","Missouri","SEC",2014,4.2829
"Jonathan Walton","LB","SR","South Carolina","SEC",2016,4.2829
"Sean Cwynar","DL","JR","Notre Dame","Independent",2010,4.2828
"Blair Burns","DB","FR","Wyoming","Mountain West",2011,4.2826
"Adonis Alexander","DB","JR","Virginia Tech","ACC",2017,4.2821
"Wunmi Oyetuga","DL","SR","Army","Independent",2018,4.2815
"Taylor Stallworth","DL","SR","South Carolina","SEC",2017,4.2812
"Allen Walker","LB","SR","Ole Miss","SEC",2010,4.2809
"Tony Annese","DB","SR","Central Michigan","MAC",2016,4.2806
"Jaycee Horn","DB","SO","South Carolina","SEC",2019,4.2805
"Manny Bowen","LB","JR","Penn State","Big Ten",2017,4.2803
"Asjlin Washington","DB","SO","Louisiana","Sun Belt",2019,4.2803
"Anthony McCloud","DL","SO","Florida State","ACC",2010,4.2801
"Terrence Alston","DB","SR","Utah State","WAC",2012,4.28
"Adam Shuler","DL","SR","Florida","SEC",2018,4.2797
"Fred Presley","DL","SO","East Carolina","American",2014,4.2793
"Christian Ringo","DL","SO","Louisiana","Sun Belt",2012,4.2787
"Justin Hamilton","DL","SO","Louisiana","Sun Belt",2012,4.2787
"Thomas Barber","LB","SR","Minnesota","Big Ten",2019,4.2784
"J.T. Surratt","DL","JR","South Carolina","SEC",2013,4.278
"Shaun Lewis","LB","JR","Oklahoma State","Big 12",2012,4.2779
"Ashante Williams","LB","SR","Illinois","Big Ten",2012,4.2774
"Jomal Wiltz","DB","SR","Iowa State","Big 12",2016,4.2772
"Ethan Tucky","DL","SO","Cincinnati","American",2018,4.2768
"Jamel Dean","DB","SO","Auburn","SEC",2017,4.2764
"Julian Wilson","DB","SR","Oklahoma","Big 12",2014,4.2763
"Jonathan Freeny","DL","SR","Rutgers","Big East",2010,4.2762
"Michael Rose-Ivey","LB","SR","Nebraska","Big Ten",2016,4.2761
"Benny Walls","DB","JR","Temple","American",2018,4.2761
"Mitch Lane","DB","SO","Louisiana-Monroe","Sun Belt",2013,4.2755
"Andrew Green","DB","SO","Nebraska","Big Ten",2011,4.2752
"Bryce Beekman","DB","JR","Washington State","Pac-12",2019,4.2752
"Tomon Fox","LB","JR","North Carolina","ACC",2019,4.2748
"Jordan Collier","LB","JR","Buffalo","MAC",2017,4.2747
"Jamar Allah","DB","SR","Arizona","Pac-12",2015,4.2746
"Frankie Hernandez","LB","JR","Marshall","CUSA",2017,4.2746
"Jaiden Woodbey","LB","FR","Florida State","ACC",2018,4.2737
"Matthew Lyons","LB","SR","Nevada","Mountain West",2015,4.2736
"Nikita Whitlock","DL","FR","Wake Forest","ACC",2010,4.2733
"J.T. Ibe","DB","SR","South Carolina","SEC",2019,4.2733
"Julian Rochester","DL","FR","Georgia","SEC",2016,4.2732
"Melvin Ingram","DL","JR","South Carolina","SEC",2010,4.2731
"Hunter Andrews","DL","SR","Eastern Michigan","MAC",2019,4.273
"James Looney","DL","JR","California","Pac-12",2016,4.2727
"Blake McColloch","DL","JR","Texas State","WAC",2012,4.2726
"Cody Grice","DL","FR","Akron","MAC",2012,4.2714
"T.Y. McGill","DL","SR","North Carolina State","ACC",2014,4.2711
"Sheldon Price","DB","SR","UCLA","Pac-12",2012,4.2707
"Mario Edwards","DB","SR","Georgia Tech","ACC",2010,4.2704
"Khalid Henderson","LB","SR","Kentucky","SEC",2015,4.2699
"Rodarius Williams","DB","SO","Oklahoma State","Big 12",2018,4.2693
"Jacob Robinson","DL","JR","Indiana","Big Ten",2017,4.2692
"Keisean Nixon","DB","SR","South Carolina","SEC",2018,4.2692
"Javin White","LB","SO","UNLV","Mountain West",2017,4.2687
"Leterrius Walton","DL","SR","Central Michigan","MAC",2014,4.2682
"Ja'Whaun Bentley","LB","FR","Purdue","Big Ten",2014,4.2682
"Charles Sawyer","DB","JR","Ole Miss","SEC",2012,4.2679
"David Konowalski","DL","SR","Bowling Green","MAC",2019,4.2679
"Picasso Nelson Jr.","DB","SO","Southern Miss","CUSA",2015,4.2678
"Micah Capra","DL","SR","Air Force","Mountain West",2018,4.2674
"L.A. Goree","LB","JR","Maryland","ACC",2013,4.2665
"John Stokes","LB","SR","Vanderbilt","SEC",2010,4.2663
"Darius English","DL","JR","South Carolina","SEC",2015,4.2663
"Lucas Wacha","LB","JR","Wyoming","Mountain West",2015,4.266
"Craig Mager","DB","JR","Texas State","Sun Belt",2013,4.2659
"Ja'Cione Fugate","DB","JR","Charlotte","CUSA",2019,4.2653
"Lonnie Ballentine","DB","SR","Memphis","American",2013,4.2652
"Shaq Bond","DB","SO","Utah State","Mountain West",2018,4.2649
"Reggie Gilbert","DL","SR","Arizona","Pac-12",2015,4.2646
"Ahmad Thomas","DB","SR","Oklahoma","Big 12",2016,4.2638
"Devin Jones","DB","SR","Ohio","MAC",2015,4.2634
"Andre Jones","LB","SO","Louisiana","Sun Belt",2019,4.2633
"Gerald Gooden","DL","JR","Purdue","Big Ten",2010,4.2632
"Adam Davis","DL","JR","Kansas State","Big 12",2011,4.2632
"Jalen Bates","DL","SR","Colorado State","Mountain West",2019,4.2617
"Isaiah Davis","LB","JR","Maryland","Big Ten",2018,4.2616
"Leon McQuaker","LB","SR","New Mexico State","Independent",2018,4.2613
"TJ Ricks","LB","SO","Old Dominion","CUSA",2014,4.2612
"Tariq Carpenter","DB","SO","Georgia Tech","ACC",2018,4.2611
"Brian Duncan","LB","SR","Texas Tech","Big 12",2010,4.2604
"Rickey Thenarse","DB","SR","Nebraska","Big Ten",2010,4.26
"Jarrod Carter-McLin","DL","SR","UTSA","CUSA",2019,4.2598
"Greg Emerson","DL","FR","Tennessee","SEC",2019,4.2595
"JaShon Waddy","DB","JR","Texas State","Sun Belt",2018,4.2593
"Logan Rudolph","DL","SO","Clemson","ACC",2019,4.2589
"Sean Martin","DB","SR","Oregon State","Pac-12",2013,4.2588
"Kaulana Apelu","LB","SR","Oregon","Pac-12",2018,4.2588
"Quay Watt","DB","SR","Middle Tennessee","CUSA",2015,4.2587
"Austen Jacks","DL","SO","Tulane","CUSA",2010,4.2586
"Elijah Jones","DL","JR","Toledo","MAC",2012,4.2582
"Domenic Spencer","LB","SR","UCF","American",2015,4.2582
"Jalen Collins","DB","JR","LSU","SEC",2014,4.2581
"A.J. Bouye","DB","SO","UCF","CUSA",2010,4.2572
"Patrick Macon","LB","SR","USF","American",2019,4.257
"Robert Maci","DL","SR","Purdue","Big Ten",2012,4.2563
"Will Barrow","DB","FR","Tulsa","CUSA",2013,4.2549
"Rohan Gaines","DB","FR","Arkansas","SEC",2012,4.2546
"Brent McClendon","DB","SR","Georgia State","Sun Belt",2013,4.2546
"William Jackson","DB","SO","Houston","American",2013,4.2546
"Grant Theil","DB","SR","Air Force","Mountain West",2019,4.2545
"Thomas Teal","DL","SO","North Carolina State","ACC",2012,4.2544
"Quentin Gause","LB","JR","Rutgers","Big Ten",2014,4.2536
"Earnest Thomas","DB","SO","Illinois","Big Ten",2012,4.2535
"Jurell Thompson","DB","SO","TCU","Mountain West",2010,4.2532
"Darin Drakeford","LB","SR","Maryland","ACC",2012,4.2532
"James Skelton","LB","JR","Colorado State","Mountain West",2011,4.2527
"Sam Williams","LB","JR","Ole Miss","SEC",2019,4.2526
"Dejon Brown","LB","SR","Western Kentucky","CUSA",2015,4.2519
"D'Andre Payne","DB","SR","Iowa State","Big 12",2018,4.2513
"Nate Brown","DB","SR","Louisiana-Monroe","Sun Belt",2011,4.2502
"Abry Jones","DL","SO","Georgia","SEC",2010,4.2501
"Silverberry Mouhon","DL","SR","Cincinnati","American",2015,4.2501
"Brad Harrah","DL","SR","Cincinnati","American",2014,4.25
"Nico Ezidore","DL","SO","Texas State","Sun Belt",2019,4.2496
"Caleb Fuller","DL","SR","Appalachian State","Sun Belt",2017,4.2491
"Robertson Daniel","DB","SR","BYU","Independent",2014,4.249
"Derek Brim","DB","SR","Buffalo","MAC",2013,4.2489
"Jarvis Wilson","LB","SR","FIU","Sun Belt",2010,4.2486
"Kent Berger","DL","SR","Ohio","MAC",2018,4.2483
"Devonte Fields","LB","SR","Louisville","ACC",2016,4.2482
"Davion Pierson","DL","SR","TCU","Big 12",2015,4.2479
"Zach Abercrumbia","DL","JR","Rice","CUSA",2018,4.2479
"Ray Stovall","LB","SO","Louisiana-Monroe","Sun Belt",2012,4.2478
"Jordan Lucas","DB","SR","Penn State","Big Ten",2015,4.2477
"Pryce Macon","DL","SR","Oklahoma","Big 12",2010,4.2476
"Dontrell Nelson","DB","JR","Memphis","American",2015,4.2474
"Kalia Davis","DL","SO","UCF","American",2019,4.2464
"Jordan Thompson","DL","JR","Northwestern","Big Ten",2017,4.2461
"Kevin Kavalec","DL","JR","Boston College","ACC",2015,4.2459
"Jalen Fox","DB","JR","Ohio","MAC",2017,4.2453
"Avery Young","DB","FR","Rutgers","Big Ten",2018,4.2453
"Adewale Adeoye","DL","SR","Utah State","Mountain West",2018,4.2453
"Markel Byrd","DB","SO","New Mexico","Mountain West",2015,4.245
"Ulric Jones","DL","JR","South Carolina","SEC",2016,4.2449
"Ryan Moeller","DB","SR","Colorado","Pac-12",2017,4.2446
"Ravontae Holt","DL","SO","Wyoming","Mountain West",2018,4.2445
"Matthew Ydarraga","DL","JR","Louisiana Tech","CUSA",2017,4.2436
"Jeremiah Dinson","DB","SO","Auburn","SEC",2017,4.2433
"Ciante Evans","DB","JR","Nebraska","Big Ten",2012,4.2432
"Haku Correa","DL","SO","Hawaii","WAC",2010,4.2426
"Andy Flusche","DL","SR","North Texas","CUSA",2017,4.2419
"Isaiah Moore","LB","FR","North Carolina State","ACC",2018,4.2419
"Myles Cheatum","DL","JR","San Diego State","Mountain West",2018,4.2418
"Dajaun Drennon","DL","SO","North Carolina","ACC",2015,4.2416
"Rohan Gaines","DB","SR","Arkansas","SEC",2015,4.2415
"Darian Roseboro","DL","SO","North Carolina State","ACC",2016,4.2412
"Nathan Brisson-Fast","DL","SR","Central Michigan","MAC",2018,4.2412
"Tyson Coleman","LB","SR","Oregon","Pac-12",2015,4.241
"Neville Gallimore","DL","SR","Oklahoma","Big 12",2019,4.2409
"Zedrick Raymond","DB","JR","Miami (OH)","MAC",2018,4.2408
"Anthony Brown","DB","SR","Purdue","Big Ten",2015,4.2396
"Xavier Thigpen","DL","JR","Southern Miss","CUSA",2016,4.2395
"Eddie Jackson","DB","SR","Alabama","SEC",2016,4.2391
"Damien Jacobs","DL","SR","Florida","SEC",2013,4.2389
"V'Angelo Bentley","DB","SR","Illinois","Big Ten",2015,4.2386
"Blake McClain","DB","SR","Kentucky","SEC",2016,4.2382
"Kendrick Market","DB","SO","Mississippi State","SEC",2013,4.238
"Kendal Vickers","DL","JR","Tennessee","SEC",2016,4.2375
"P.J. Davis","LB","SR","Georgia Tech","ACC",2016,4.2371
"Ikem Okeke","DB","SR","Hawaii","Mountain West",2019,4.2369
"David Parry","DL","JR","Stanford","Pac-12",2012,4.236
"Joel Heath","DL","SR","Michigan State","Big Ten",2015,4.2358
"Cole Holcomb","LB","JR","North Carolina","ACC",2017,4.2356
"Lawrence Graham","LB","JR","Tulane","American",2018,4.2356
"Kellen Harris","LB","JR","Marshall","CUSA",2010,4.2351
"Robert Kitching","DL","JR","Massachusetts","MAC",2014,4.2351
"Fellonte Misher","DB","JR","Old Dominion","CUSA",2014,4.2351
"Kalil Morris","DL","SR","Kent State","MAC",2018,4.2345
"Roosevelt Maggitt","DL","SR","Iowa State","Big 12",2012,4.2332
"Asante Samuel, Jr.","DB","SO","Florida State","ACC",2019,4.2332
"Anthony Brown","DB","JR","Purdue","Big Ten",2014,4.2317
"Essang Bassey","DB","SR","Wake Forest","ACC",2019,4.2316
"Alex Wells","DB","SR","Temple","American",2015,4.2313
"Jaquan Brisker","DB","JR","Penn State","Big Ten",2019,4.2313
"Korey Williams","LB","SR","Southern Miss","CUSA",2011,4.2309
"Jeremy Springer","LB","SR","UTEP","CUSA",2011,4.2305
"Sean Bunting","DB","JR","Central Michigan","MAC",2018,4.2292
"Jamarkus McFarland","DL","SR","Oklahoma","Big 12",2012,4.2291
"Corey Frazier","DB","SO","Rice","CUSA",2010,4.2279
"Aaron Tevis","LB","SR","Boise State","Mountain West",2011,4.2277
"Truman Gutapfel","DL","SO","Boston College","ACC",2014,4.2274
"Delontae Scott","DL","JR","SMU","American",2018,4.2272
"Lucas Wacha","LB","SR","Wyoming","Mountain West",2016,4.2269
"Aaron Faumui","DL","SO","Virginia","ACC",2019,4.2266
"Darrin Kirkland Jr.","LB","JR","Tennessee","SEC",2018,4.2265
"Shawun Lurry","DB","SR","Northern Illinois","MAC",2017,4.2264
"Joe Foucha","DB","SO","Arkansas","SEC",2019,4.2261
"Chance Waz","DB","SO","Baylor","Big 12",2015,4.2259
"Chuck Wade Jr.","DB","SR","Wake Forest","ACC",2018,4.2259
