Player,Pos,Class,School,Conference,Year,Passing,Rushing,Receiving,Total
Adrian Flemming,WR,SR,Syracuse,ACC,2014,,-0.004541447,0.206601109,0.202059662
Ricky Jones,TE,JR,Louisiana Tech,CUSA,2014,,0.006720262,0.195150375,0.201870637
Chris Young,WR,JR,Iowa State,Big 12,2011,,,0.201795928,0.201795928
Lucas Krull,TE,JR,Florida,SEC,2019,0.009963779,,0.191802726,0.201766505
Justin Sinz,TE,SO,Purdue,Big Ten,2012,,,0.201671732,0.201671732
David Lewis,TE,SR,Texas State,Sun Belt,2013,,,0.201633297,0.201633297
Jeremy Jackson,WR,JR,Michigan,Big Ten,2012,,,0.201608947,0.201608947
Marquis Bundy,WR,JR,New Mexico,Mountain West,2014,,,0.201584698,0.201584698
Dareyon Chance,RB,SO,Western Michigan,MAC,2011,,0.1623904,0.039186852,0.201577252
Brett Kean,QB,JR,USF,American,2018,0.250507106,-0.048933452,,0.201573654
Brayle Brown,QB,JR,Louisiana-Monroe,Sun Belt,2014,0.160769332,0.027707553,0.013093668,0.201570553
Bryce Roberts,TE,SO,New Mexico State,Independent,2018,,,0.201393339,0.201393339
Kelvin Lee,RB,SO,Utah State,Mountain West,2013,,0.201352885,,0.201352885
Levi Duffield,TE,JR,Appalachian State,Sun Belt,2016,,,0.201011092,0.201011092
Dom Williams,RB,JR,Kansas,Big 12,2019,,0.200946119,,0.200946119
Malik Dear,WR,SR,Mississippi State,SEC,2019,,0.015439271,0.185440407,0.200879678
Cedrick Lang,TE,SR,UTEP,CUSA,2015,,,0.200729087,0.200729087
Jake Herslow,WR,JR,Old Dominion,CUSA,2019,,,0.200660855,0.200660855
